Location,VIN,Vehicle Name,Make,Status,Compliant,Calibration Version,IsActive,Economy,Idle Reduction,Reverse Speed Li,Spark Advance,Speed Limit,TCU Economy,TCU Speed Limit
2 - Birmingham AL,1FTYE1Y83MKA07443,91988,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
4 - Houston TX,1FT7X2B66NED00823,99156,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
4 - Houston TX,1FTYE1Y80MKA07478,91949,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
4 - Houston TX,1FTYE1Y82MKA07479,91946,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
4 - Houston TX,1FTYE1Y89MKA07480,91944,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
4 - Houston TX,NM0LS7E25M1500923,91868,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
5 - Atlanta GA,1FTYE1Y85MKA07444,91984,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
5 - Atlanta GA,1FTYE1Y8XMKA07911,91986,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
5 - Atlanta GA,1FTYR1ZMXKKB49947,500164,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
7 - Dallas TX,1FTYR1YM4JKB17057,93695,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,Maximum,85 MPH,No Option Available,No Option Available
7 - Dallas TX,1FTYR1YM7KKB50989,500167,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,Maximum,85 MPH,No Option Available,No Option Available
8 - Chatsworth CA,1FTYE1Y85MKA07914,91994,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
8 - Chatsworth CA,1FTYE1Y87MKA07915,91989,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
11 - Anaheim CA,1FTYE1Y80MKA07917,91995,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
11 - Anaheim CA,1FTYE1Y81MKA07487,91992,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
11 - Anaheim CA,1FTYE1Y83MKA07488,91954,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
11 - Anaheim CA,1FTYE1Y89MKA07916,91998,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
11 - Anaheim CA,1FTYE1Y8XMKA07486,91951,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
11 - Anaheim CA,NM0LS7E25M1500937,91899,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
13 - Mobile AL,1FTYE1Y82MKA38506,93737,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
13 - Mobile AL,NM0LS7E22M1500801,91881,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,1FDWE3FS8HDC24770,77221S,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,1FTYE1Y81MKA07912,91917,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,1FTYE1Y86MKA07467,91958,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,NM0LS7E21M1500787,91864,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,NM0LS7E22M1500930,91894,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,NM0LS7E23M1500791,91889,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,NM0LS7E25M1500789,91853,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,NM0LS7E26M1500770,91847,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
16 - Chicago IL,NM0LS7E2XM1500819,91872,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
18 - Stockton CA,1FTYE1Y85MKA07492,91955,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
18 - Stockton CA,NM0LS7E27M1500938,91900,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
19 - San Jose CA,1FTYE1Y81MKA07490,91990,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
19 - San Jose CA,1FTYE1Y82MKA07918,92001,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
19 - San Jose CA,NM0LS7E21M1500790,91891,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
20 - Evansville IN,NM0LS7E20M1500778,91856,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
20 - Evansville IN,NM0LS7E20M1500800,91882,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
20 - Evansville IN,NM0LS7E25M1500811,91876,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
22 - Hayward CA,1FTYR1YM6KKB35125,500168,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Disabled,Maximum,No Option Available,Disabled,85 MPH,No Option Available,No Option Available
22 - Hayward CA,NM0LS7E29M1500794,91887,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
23 - Milwaukee WI,1FTYE1Y88MKA07471,91909,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
23 - Milwaukee WI,NM0LS7E27M1500812,91875,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Enabled,No Option Available,85 MPH,No Option Available,No Option Available
23 - Milwaukee WI,NM0LS7E2XM1500772,91849,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Enabled,No Option Available,85 MPH,No Option Available,No Option Available
24 - Madison WI,1FTYE1Y80MKA07464,91959,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
24 - Madison WI,NM0LS7E24M1500931,91895,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
26 - Bakersfield CA,1FTYE1Y83MKA07913,91997,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
28 - Toledo OH,1FTYE1Y87MKA07476,91963,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Disabled,Disabled,No Option Available,No Option Available,90 MPH,No Option Available,No Option Available
28 - Toledo OH,NM0LS7E20M1500795,91886,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Disabled,Disabled,Disabled,No Option Available,90 MPH,No Option Available,No Option Available
29 - Greenville SC,1FTYE1Y82MKA07448,91948,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
29 - Greenville SC,1FTYE1Y84MKA07449,91939,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
30 - Montgomery AL,1FTYE1Y87MKA07431,91923,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,80 MPH,No Option Available,No Option Available
36 - Fresno CA,1FTYE1Y82MKA07921,91991,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,75 MPH,No Option Available,No Option Available
38 - Sacramento CA,NM0LS7E2XM1500805,91879,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
40 - Fairfield CA,1FTYE1Y83MKA07491,91953,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
47 - Natick MA,1FTYE1Y84MKA07421,91920,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
47 - Natick MA,1FTYE1Y86MKA07422,91933,Ford,DERIVE OPTIMIZED,1,2.268FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,80 MPH,No Option Available,No Option Available
47 - Natick MA,1FTYE1Y88MKA07423,91932,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
47 - Natick MA,1FTYE1Y8XMKA07424,91970,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
47 - Natick MA,NM0LS7E25M1500808,91878,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
47 - Natick MA,NM0LS7E2XM1500822,91869,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
49 - Little Rock AR,1FTYE1Y88MKA07454,91915,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
49 - Little Rock AR,1FTYE1Y8XMKA07455,91964,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
52 - Champaign IL,1FTYE1Y81MKA07473,91961,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
53 - Peoria IL,1FTYE1Y82MKA07465,91912,Ford,FACTORY SETTINGS,0,1.001FRWVA,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
53 - Peoria IL,NM0LS7E24M1500797,91885,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
53 - Peoria IL,NM0LS7E28M1500771,91848,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
54 - Charleston WV,1FTYE1Y83MKA07474,91916,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,80 MPH,No Option Available,No Option Available
54 - Charleston WV,1FTYE1Y85MKA07475,91960,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,80 MPH,No Option Available,No Option Available
57 - Buffalo NY,1GAZGPFF0G1180858,88509,Chevrolet,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
57 - Buffalo NY,NM0LS7F79F1215428,88511,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
58 - Wichita KS,1FTNE1EW4DDB10946,59123,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,Disabled,85 MPH,No Option Available,85 MPH
59 - Connecticut CT,1FTYE1Y83MKA07426,91931,Ford,DERIVE OPTIMIZED,1,2.268FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,80 MPH,No Option Available,No Option Available
59 - Connecticut CT,1FTYE1Y85MKA07430,91926,Ford,DERIVE OPTIMIZED,1,2.268FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,84 MPH,No Option Available,No Option Available
59 - Connecticut CT,NM0LS7E24M1500783,91861,Ford,DERIVE OPTIMIZED,1,2.268FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,80 MPH,No Option Available,No Option Available
60 - Hawaii HI,1FTYE1Y84MKA07919,91999,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
60 - Hawaii HI,NM0LS7E29M1500942,91903,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Enabled,No Option Available,35 MPH,No Option Available,No Option Available
65 - Chicopee MA,1FTYE1Y82MKA07417,91925,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
65 - Chicopee MA,1FTYE1Y82MKA07420,91976,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
65 - Chicopee MA,1FTYE1Y84MKA07418,91935,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
65 - Chicopee MA,NM0LS7E26M1487471,95107,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
65 - Chicopee MA,NM0LS7E28M1500799,91890,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
68 - Nashville TN,NM0LS7E25M1500775,91852,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
70 - Redlands CA,1FTYE1Y85MKA07489,91952,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
72 - San Antonio TX,1FTYE1Y80MKA07481,91940,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
72 - San Antonio TX,1FTYR1ZM5KKB34465,500524,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
75 - Orlando FL,1FTYE1Y81MKA07456,91983,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
76 - Austin South TX,NM0LS7E29M1500780,91858,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
77 - Salt Lake City UT,NM0LS7E22M1500796,91884,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Minimum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
79 - Lafayette LA,NM0LS7E23M1500788,91865,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Enabled,No Option Available,80 MPH,No Option Available,No Option Available
82 - Beaumont TX,NM0LS7E23M1500774,91850,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
85 - Ogden UT,1FTYE1Y86MKA07484,91957,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
87 - Columbus OH,1FTYE1Y8XMKA07469,91914,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,125 MPH,No Option Available,No Option Available
87 - Columbus OH,NM0LS7E26M1500817,91873,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,125 MPH,No Option Available,No Option Available
89 - Minneapolis MN,NM0LS7E29M1500813,91874,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
91 - McAllen TX,1FTYE1Y82MKA07482,91945,Ford,FACTORY SETTINGS,0,2.266FFDE,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
91 - McAllen TX,1FTYE1Y89MKA38549,93741,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,80 MPH,No Option Available,No Option Available
91 - McAllen TX,NM0LS7E21M1500773,91851,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,80 MPH,No Option Available,No Option Available
94 - Asheville NC,NM0LS7E28M1500933,91897,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
96 - Billings MT,1FTYE1Y8XMKA38575,93755,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
97 - Denver CO,1FTYE1Y88MKA07485,91956,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,79 MPH,No Option Available,No Option Available
98 - Norfolk VA,1FTYE1Y87MKA07459,91936,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
99 - Richmond VA,1FTKE1Y83LKA70837,93738,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
99 - Richmond VA,1FTYE1Y83MKA07460,91919,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
99 - Richmond VA,1FTYE1Y85MKA07461,91921,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
99 - Richmond VA,1FTYE1Y87MKA07462,91918,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
99 - Richmond VA,1GCWGAFF0H1352752,352752,Chevrolet,DERIVE OPTIMIZED,1,2.170FGME,Yes,Maximum,Maximum,No Option Available,Maximum,85 MPH,Maximum,85MPH
99 - Richmond VA,1GTW7AFG2J1903133,90313R,GMC,DERIVE OPTIMIZED,1,2.170FGME,Yes,Maximum,Maximum,No Option Available,Maximum,85 MPH,Maximum,85MPH
99 - Richmond VA,NM0LS7E21M1500823,91866,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
101 - Fisherville VA,1FTYE1Y89MKA07463,91967,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
103 - Roanoke VA,1GCWGAFF0H1352847,352847,Chevrolet,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
103 - Roanoke VA,1GTW7AFG0J1902370,90237R,GMC,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
106 - Albany NY,1FTYR1ZM1KKB20756,500523,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
107 - Charlotte NC,1FTYE1Y87MKA07445,91987,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
108 - Charleston SC,1FTYE1Y80MKA07447,91980,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
108 - Charleston SC,NM0LS7E22M1500779,91857,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,Disabled,No Option Available,85 MPH,No Option Available,No Option Available
109 - New Jersey NJ,1FTYE1Y88MKA07437,91924,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,No Option Available,80 MPH,No Option Available,No Option Available
109 - New Jersey NJ,NM0LS7E2XM1500786,91863,Ford,RETURNED TO FACTORY SETTINGS,0,2.266FFDE,Yes,Maximum,Maximum,Enabled,No Option Available,80 MPH,No Option Available,No Option Available
110 - Jackson MS,1FTYE1Y86MKA07453,91941,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
110 - Jackson MS,NM0LS7E22M1498998,95537,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
110 - Jackson MS,NM0LS7E2XM1500769,91846,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
111 - Providence RI,1FTYE1Y85MKA07413,91930,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
